source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,mass_flame,mass_flame_lower,mass_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,radius_flame,radius_flame_lower,radius_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame
6421389047155380352,283.9552174797081,-69.24056104171599,2016.0,86.1408962780358,0.042240176,459.16317811379446,0.02642151,-693.1053347370739,0.040844776,,,false,,,,,,,,,,,,,,,,,,,
6427464123776727168,302.19503988923026,-66.18709128441725,2016.0,163.9544145383167,0.12218077,1211.7606270999615,0.07212469,-1130.2369049548956,0.10327922,,,false,5437.5474,5435.781,5439.1177,0.0321,0.0267,0.0381,,,,1.2535083,1.2481576,1.2588867,1.2615935,1.2362183,1.28697,,,,20
6427708902552813824,301.0094779606804,-65.60328531056152,2016.0,77.86519596336532,0.039652023,127.08468212195322,0.021129293,-854.3765914916064,0.0308331,28.029999,0.1978551,false,,,,,,,,,,,,,,,,,,,
6427708902553822592,301.02119056798006,-65.60411911962947,2016.0,77.7939753829574,0.039576568,133.0349526303847,0.02162781,-852.2603826315279,0.031806994,28.051542,0.16535091,false,3442.444,3398.227,3457.598,-0.3642,-0.697,-0.2134,,,,0.020177936,0.015177842,0.025178265,0.4410325,0.3856812,0.49638632,,,,20
6439125097427143808,281.29804386226,-63.96056736658412,2016.0,249.6651458904217,0.1330301,2583.1897859953274,0.09070165,588.5041381022022,0.10340071,,,false,,,,,,,,,,,,,,,,,,,
6456884409233519360,315.805198569885,-56.96185322955984,2016.0,80.02112246350178,0.031032525,-357.1096789457698,0.02931524,354.38735393321844,0.026024189,7.8319364,0.3196406,false,3056.6768,3055.4219,3060.895,-0.8404,-0.8453,-0.8015,,,,0.0077208825,0.01,0.0127209965,0.3132975,0.26663396,0.414938,,,,20
6471497502884511232,310.5788689173076,-52.70400747589355,2016.0,81.02792076812638,0.02281634,82.71759938861481,0.018462153,-1067.1592799873572,0.022365257,-47.12636,0.12876704,false,3917.272,3907.3213,3930.6968,-1.0181,-1.0775,-0.8941,0.61094534,0.5709453,0.65094537,0.08590003,0.08089915,0.09090227,0.63617593,0.61370784,0.65864813,,,,00
6478328150150225664,315.27888909461694,-49.12456979699407,2016.0,74.4553628583603,0.7611797,-292.9177630752833,0.56015974,-215.38188558263516,0.64922816,35.589504,1.2355084,false,,,,,,,,,,,,,,,,,,,
6478328218869704192,315.2697235104514,-49.10774847786424,2016.0,74.94562437295559,0.030896338,-287.01602223020484,0.026384274,-226.37627541287154,0.027969966,,,false,,,,,,,,,,,,,,,,,,,
6491249026683800832,344.09817116277344,-60.0678541150227,2016.0,96.33615242325035,0.030034969,-521.0512387169384,0.024994334,-939.2447596213377,0.025651779,10.908675,0.3075038,false,,,,,,,,,,,,,,,,,,,
6508401923473282432,335.5661138004264,-54.5595680078303,2016.0,76.15946505307657,0.019678587,-184.20185298628616,0.017321521,234.97460424959905,0.019357357,-5.4895363,0.15242717,false,,,,,,,,,,,,,,,,,,,
6508776375901968640,334.5683625481559,-53.62987304773594,2016.0,71.09384614454987,0.055435102,441.22964916542867,0.057686992,-629.7500845409968,0.05701009,,,false,5780.66,5778.994,5786.3784,-0.2664,-0.2696,-0.2518,0.9820968,0.94208986,1.0221751,1.1821582,1.1767837,1.1874719,1.0838945,1.062077,1.1057088,7.6107144,6.5380077,8.668345,00
6517274496976569344,340.0810637443171,-49.517146869093644,2016.0,83.85768795617837,0.027883355,468.72563489362653,0.018739102,172.1323862023155,0.022314472,-16.999306,26.996586,false,,,,,,,,,,,,,,,,,,,
6517274535632335872,340.08216256511923,-49.51636312272299,2016.0,83.93672372025935,0.03589504,459.54399778798677,0.02280741,144.83575937263188,0.028999913,-16.628258,1.523989,false,,,,,,,,,,,,,,,,,,,
6526541563232943872,352.5636566929017,-47.616850415246994,2016.0,73.59921732853974,0.07288724,-562.6515733810768,0.035922885,-973.6942224957895,0.05936562,,,false,,,,,,,,,,,,,,,,,,,
6539166877292779264,354.2244271769137,-36.480760835989614,2016.0,83.67637554552375,0.023160523,1175.5601211891023,0.02099159,59.277280944141864,0.022838987,24.138594,0.29042703,false,3102.8633,3102.5806,3103.3572,-0.1706,-0.1718,-0.1696,,,,0.004188471,0.004188052,0.00418889,0.22396342,0.21948414,0.22844271,,,,20
